,X,property_type,claim_id,claim_amount,property_value,pml,deductible,claim_status,payment,incident_date,payment_date,incident_type,prem,cluster,XL_lower_lim,XL_upper_lim,XL_lower_lim_%_PML,net_prem,% of risk not removed,layer_prem
651,651,house,684c7e10,214330,"555,000","111,000",500,settled,213830,22/04/2017,21/07/2017,water damage,568,,,,,,,
652,652,house,89fae498,173720,"483,000","97,000","2,000",settled,171720,04/11/2009,02/02/2010,fire,481,,,,,,,
653,653,house,886699fb,184830,"551,000","110,000",500,under investigation,0,28/12/2021,NA,nat cat,570,,,,,,,
654,654,house,a972837e,218420,"398,000","80,000","2,000",settled,216420,01/07/2014,29/09/2014,fire,388,,,,,,,
655,655,house,7736c3b7,223840,"364,000","73,000","1,000",under investigation,0,07/01/2007,NA,nat cat,383,,,,,,,
656,656,house,86aaa7c4,235940,"651,000","130,000","1,000",settled,234940,13/09/2016,12/12/2016,fire,655,,,,,,,
657,657,house,e1d81939,176100,"403,000","81,000","1,000",settled,175100,31/08/2021,29/11/2021,water damage,406,,,,,,,
658,658,house,ec597d9a,215400,"449,000","90,000","2,000",under investigation,0,30/07/2019,NA,fire,446,,,,,,,
659,659,house,2d425cb0,176000,"439,000","88,000","5,000",settled,171000,25/09/2023,24/12/2023,nat cat,426,,,,,,,
660,660,house,353b9548,231300,"474,000","95,000",500,denied,0,14/10/2021,NA,nat cat,454,,,,,,,
661,661,house,75f3761d,182780,"624,000","125,000","5,000",under investigation,0,13/02/2009,NA,nat cat,632,,,,,,,
662,662,house,c47e1b12,209240,"267,000","53,000",500,settled,208740,23/07/2023,21/10/2023,fire,272,,,,,,,
663,663,house,c2ae1a5a,191220,"407,000","81,000",500,settled,190720,28/12/2009,28/03/2010,water damage,419,,,,,,,
664,664,house,bd96fdc3,210200,"825,000","165,000","1,000",under investigation,0,01/04/2017,NA,fire,807,,,,,,,
665,665,house,516256b6,204500,"573,000","115,000","5,000",denied,0,27/11/2021,NA,water damage,589,,,,,,,
666,666,house,3a7b334d,191160,"434,000","87,000","2,000",settled,189160,08/06/2020,06/09/2020,fire,445,,,,,,,
667,667,house,a9358f15,188500,"417,000","83,000",500,settled,188000,17/12/2018,17/03/2019,other,417,,,,,,,
668,668,house,de70effe,185920,"128,000","26,000","2,000",open,20000,17/06/2016,15/09/2016,theft,117,,,,,,,
669,669,house,9af3a1ed,194400,"619,000","124,000","2,000",settled,192400,12/08/2015,10/11/2015,nat cat,637,,,,,,,
670,670,house,9b9f1a95,210380,"256,000","51,000","2,000",under investigation,0,23/07/2008,NA,fire,275,,,,,,,
671,671,house,83875e13,215980,"317,000","63,000","1,000",settled,214980,11/05/2004,09/08/2004,water damage,307,,,,,,,
672,672,house,028b12af,194080,"662,000","132,000","2,000",settled,192080,05/11/2013,03/02/2014,fire,663,,,,,,,
673,673,house,2577047c,199050,"529,000","106,000",500,settled,198550,21/08/2007,19/11/2007,nat cat,540,,,,,,,
674,674,house,6b718be6,188540,"544,000","109,000",500,settled,188040,31/12/2015,30/03/2016,water damage,536,,,,,,,
675,675,house,7a93d144,200320,"374,000","75,000","2,000",settled,198320,15/10/2007,13/01/2008,fire,376,,,,,,,
676,676,house,ddc255b9,211330,"498,000",1e+05,"5,000",settled,206330,20/05/2019,18/08/2019,other,480,,,,,,,
677,677,house,e781a855,197090,"283,000","57,000","1,000",settled,196090,25/04/2005,24/07/2005,fire,270,,,,,,,
678,678,house,0fa93a5b,226880,"255,000","51,000","1,000",under investigation,0,02/05/2011,NA,water damage,268,,,,,,,
679,679,house,11a32e23,202530,"497,000","99,000","1,000",settled,201530,06/03/2012,04/06/2012,water damage,507,,,,,,,
680,680,house,4f05459d,176310,"617,000","123,000","5,000",settled,171310,09/12/2021,09/03/2022,water damage,625,,,,,,,
681,681,house,1bf80d80,217220,"571,000","114,000",500,denied,0,02/04/2011,NA,fire,559,,,,,,,
682,682,house,6af7b9f3,187210,"509,000","102,000",500,settled,186710,24/06/2012,22/09/2012,nat cat,524,,,,,,,
683,683,house,43dce91d,205590,"585,000","117,000","2,000",settled,203590,20/09/2018,19/12/2018,nat cat,573,,,,,,,
684,684,house,08b3a9f2,208490,"723,000","145,000","5,000",settled,203490,29/10/2018,27/01/2019,other,709,,,,,,,
685,685,house,72d54da4,213680,"177,000","35,000","5,000",settled,208680,10/02/2004,10/05/2004,fire,172,,,,,,,
686,686,house,54193a04,209350,"445,000","89,000","5,000",settled,204350,20/02/2016,20/05/2016,fire,451,,,,,,,
687,687,house,06fc5d05,195440,"564,000","113,000","2,000",open,20000,17/11/2019,15/02/2020,theft,561,,,,,,,
688,688,house,d0ee8aab,206480,"421,000","84,000","1,000",settled,205480,06/12/2011,05/03/2012,water damage,428,,,,,,,
689,689,house,e13d8b26,209920,"484,000","97,000",500,open,20000,19/03/2004,17/06/2004,theft,488,,,,,,,
690,690,house,ed8a6add,168190,"305,000","61,000","1,000",settled,167190,12/11/2007,10/02/2008,fire,310,,,,,,,
691,691,house,2985728d,193560,"313,000","63,000","5,000",settled,188560,24/04/2020,23/07/2020,fire,313,,,,,,,
692,692,house,59f3f27b,193590,"659,000","132,000","1,000",settled,192590,18/06/2011,16/09/2011,fire,659,,,,,,,
693,693,house,35157f50,212380,"313,000","63,000","2,000",under investigation,0,21/03/2004,NA,nat cat,328,,,,,,,
694,694,house,519cd2eb,198390,"420,000","84,000",500,settled,197890,06/10/2022,04/01/2023,fire,410,,,,,,,
695,695,house,c4ad09b7,202630,"615,000","123,000","2,000",settled,200630,17/10/2017,15/01/2018,nat cat,615,,,,,,,
696,696,house,3378c805,188290,"339,000","68,000","5,000",settled,183290,04/08/2006,02/11/2006,nat cat,358,,,,,,,
697,697,house,51aaee28,215460,"488,000","98,000","1,000",settled,214460,28/07/2022,26/10/2022,water damage,505,,,,,,,
698,698,house,16b76b71,193270,"629,000","126,000","5,000",under investigation,0,05/01/2012,NA,fire,616,,,,,,,
699,699,house,28386ad0,226030,"298,000","60,000","1,000",settled,225030,18/06/2009,16/09/2009,nat cat,308,,,,,,,
700,700,house,b2f79ed1,181980,"244,000","49,000",500,under investigation,0,19/12/2012,NA,fire,260,,,,,,,
701,701,house,f4926239,196510,"247,000","49,000",500,settled,196010,27/05/2010,25/08/2010,other,255,,,,,,,
702,702,house,8b2cbddc,209930,"510,000","102,000","1,000",settled,208930,20/01/2013,20/04/2013,other,525,,,,,,,
703,703,house,77657317,192570,"282,000","56,000",500,under investigation,0,23/03/2010,NA,nat cat,273,,,,,,,
704,704,house,4a2abf2f,222340,"514,000","103,000","1,000",open,20000,05/07/2007,03/10/2007,theft,518,,,,,,,
705,705,house,83d35b34,180770,"403,000","81,000",500,settled,180270,24/02/2006,25/05/2006,water damage,406,,,,,,,
706,706,house,45a384ca,214600,"424,000","85,000","5,000",settled,209600,06/06/2017,04/09/2017,fire,435,,,,,,,
707,707,house,bfc0f68d,195590,"745,000","149,000","5,000",settled,190590,22/04/2004,21/07/2004,nat cat,734,,,,,,,
708,708,house,c3dcd359,189760,"605,000","121,000","1,000",under investigation,0,10/05/2004,NA,nat cat,620,,,,,,,
709,709,house,4130d9e0,202490,"535,000","107,000","2,000",settled,200490,02/12/2013,02/03/2014,water damage,536,,,,,,,
710,710,house,6952edd9,207230,"243,000","49,000","5,000",settled,202230,23/07/2019,21/10/2019,other,258,,,,,,,
711,711,house,15b79af3,222500,"576,000","115,000",500,under investigation,0,16/10/2016,NA,other,578,,,,,,,
712,712,house,90d77f0b,200390,"168,000","34,000","2,000",settled,198390,09/01/2009,09/04/2009,fire,159,,,,,,,
713,713,house,cacfa3c2,198350,"479,000","96,000","2,000",settled,196350,28/09/2005,27/12/2005,water damage,482,,,,,,,
714,714,house,eef1dff1,189750,"376,000","75,000","1,000",settled,188750,29/10/2011,27/01/2012,water damage,385,,,,,,,
715,715,house,f773d337,201000,"447,000","89,000","2,000",settled,199000,06/09/2022,05/12/2022,fire,431,,,,,,,
716,716,house,38724cd6,185420,"371,000","74,000","1,000",settled,184420,20/04/2007,19/07/2007,fire,367,,,,,,,
717,717,house,a684fabc,168870,"294,000","59,000","2,000",under investigation,0,26/11/2015,NA,fire,287,,,,,,,
718,718,house,01c0b2db,191860,"368,000","74,000",500,settled,191360,10/11/2014,08/02/2015,other,384,,,,,,,
719,719,house,7be50a82,204240,"407,000","81,000","5,000",settled,199240,12/04/2016,11/07/2016,fire,391,,,,,,,
720,720,house,544907ec,214250,"476,000","95,000","5,000",under investigation,0,03/09/2016,NA,other,493,,,,,,,
721,721,house,742c55fb,200060,"553,000","111,000","2,000",under investigation,0,02/01/2021,NA,fire,538,,,,,,,
722,722,house,4f7209cf,185140,"530,000","106,000","1,000",denied,0,16/06/2008,NA,nat cat,540,,,,,,,
723,723,house,db8c660e,204100,"217,000","43,000","2,000",open,20000,01/01/2006,01/04/2006,theft,209,,,,,,,
724,724,house,602563cf,195060,"604,000","121,000","5,000",settled,190060,19/01/2006,19/04/2006,water damage,595,,,,,,,
725,725,house,1c6665f6,194360,"180,000","36,000","1,000",settled,193360,15/04/2008,14/07/2008,water damage,186,,,,,,,
726,726,house,75a1aa86,219940,"536,000","107,000","1,000",settled,218940,28/06/2022,26/09/2022,nat cat,555,,,,,,,
727,727,house,3a8b3e61,201720,"422,000","84,000","2,000",settled,199720,17/02/2016,17/05/2016,fire,430,,,,,,,
728,728,house,5b0ba929,174450,"236,000","47,000","2,000",denied,0,01/02/2009,NA,nat cat,241,,,,,,,
729,729,house,2dae3e4a,196200,"452,000","90,000","2,000",under investigation,0,18/05/2012,NA,water damage,467,,,,,,,
730,730,house,5c5153f4,171870,"464,000","93,000",500,open,20000,22/07/2006,20/10/2006,theft,445,,,,,,,
731,731,house,3f1ffd4c,202210,"582,000","116,000","1,000",settled,201210,14/11/2012,12/02/2013,nat cat,578,,,,,,,
732,732,house,5d10ce93,174330,"246,000","49,000","2,000",settled,172330,27/01/2018,27/04/2018,fire,241,,,,,,,
733,733,house,b55a1d15,196400,"448,000","90,000","1,000",under investigation,0,09/12/2005,NA,water damage,454,,,,,,,
734,734,house,154ce70d,202550,"495,000","99,000","5,000",settled,197550,17/09/2018,16/12/2018,nat cat,494,,,,,,,
735,735,house,c4d789df,184300,"531,000","106,000",500,open,20000,09/02/2009,10/05/2009,theft,544,,,,,,,
736,736,house,f1ce6f9c,219850,"406,000","81,000",500,settled,219350,02/01/2019,02/04/2019,other,395,,,,,,,
737,737,house,b89f26eb,216790,"263,000","53,000",500,under investigation,0,07/12/2021,NA,nat cat,254,,,,,,,
738,738,house,11a142c0,197560,"338,000","68,000","2,000",under investigation,0,11/12/2020,NA,fire,353,,,,,,,
739,739,house,a904c976,198710,"560,000","112,000",500,open,20000,05/04/2020,04/07/2020,theft,574,,,,,,,
740,740,house,3db7dc5b,196240,"497,000","99,000","2,000",settled,194240,13/05/2010,11/08/2010,nat cat,478,,,,,,,
741,741,house,819719a5,212420,"616,000","123,000","2,000",settled,210420,27/09/2014,26/12/2014,water damage,598,,,,,,,
742,742,house,13ece5e6,201150,"420,000","84,000","5,000",settled,196150,23/05/2006,21/08/2006,nat cat,417,,,,,,,
743,743,house,748e3e7c,198820,"526,000","105,000","2,000",settled,196820,05/11/2008,03/02/2009,other,520,,,,,,,
744,744,house,602c8d82,201610,"425,000","85,000","1,000",settled,200610,27/01/2007,27/04/2007,water damage,406,,,,,,,
745,745,house,5aa40776,206510,"351,000","70,000","1,000",under investigation,0,08/04/2004,NA,water damage,332,,,,,,,
746,746,house,4ffa9dc4,185750,"810,000","162,000","2,000",under investigation,0,19/10/2006,NA,water damage,808,,,,,,,
747,747,house,43892203,189040,"399,000","80,000","1,000",settled,188040,11/04/2019,10/07/2019,fire,411,,,,,,,
748,748,house,655b04d6,227530,"276,000","55,000",500,settled,227030,21/08/2006,19/11/2006,fire,271,,,,,,,
749,749,house,7bae4b5b,184370,"437,000","87,000","2,000",settled,182370,09/05/2014,07/08/2014,fire,456,,,,,,,
750,750,house,d044e2ea,214430,"588,000","118,000","5,000",settled,209430,01/11/2005,30/01/2006,fire,586,,,,,,,
751,751,house,daa2ef49,178850,"473,000","95,000","2,000",settled,176850,19/02/2012,19/05/2012,water damage,476,,,,,,,
752,752,house,c2b12b33,200790,"369,000","74,000","2,000",settled,198790,13/09/2020,12/12/2020,water damage,352,,,,,,,
753,753,house,d6c9115c,198500,"369,000","74,000","2,000",under investigation,0,14/08/2006,NA,fire,385,,,,,,,
754,754,house,d28b4fad,204970,"550,000","110,000","1,000",denied,0,04/01/2008,NA,water damage,551,,,,,,,
755,755,house,5dd49ffc,211450,"642,000","128,000","5,000",settled,206450,20/06/2006,18/09/2006,fire,649,,,,,,,
756,756,house,757cf51f,201600,"363,000","73,000",500,settled,201100,01/05/2010,30/07/2010,fire,374,,,,,,,
757,757,house,78259b7f,206160,"497,000","99,000","1,000",under investigation,0,26/11/2011,NA,water damage,485,,,,,,,
758,758,house,6daea1ea,192630,"498,000",1e+05,"5,000",under investigation,0,19/01/2023,NA,water damage,487,,,,,,,
759,759,house,6a8d9881,226490,"530,000","106,000","1,000",settled,225490,03/04/2013,02/07/2013,fire,547,,,,,,,
760,760,house,293ab814,183870,"566,000","113,000","1,000",settled,182870,01/03/2021,30/05/2021,other,576,,,,,,,
761,761,house,c7041e30,190390,"201,000","40,000","5,000",settled,185390,01/04/2015,30/06/2015,fire,193,,,,,,,
762,762,house,29dc71f1,201520,"553,000","111,000","1,000",settled,200520,01/04/2016,30/06/2016,nat cat,566,,,,,,,
763,763,house,d0f7df14,202770,5e+05,1e+05,500,settled,202270,18/08/2021,16/11/2021,fire,497,,,,,,,
764,764,house,9a35da9d,189210,"498,000",1e+05,500,settled,188710,23/06/2022,21/09/2022,water damage,494,,,,,,,
765,765,house,a378fec5,212390,"710,000","142,000",500,under investigation,0,23/03/2016,NA,nat cat,723,,,,,,,
766,766,house,410bf97a,196050,"456,000","91,000","1,000",settled,195050,21/01/2010,21/04/2010,water damage,456,,,,,,,
767,767,house,5a87d4d2,189580,"446,000","89,000",500,settled,189080,15/08/2018,13/11/2018,water damage,460,,,,,,,
768,768,house,42cc94c3,204540,"533,000","107,000",500,settled,204040,17/01/2020,16/04/2020,fire,540,,,,,,,
769,769,house,02a5ec23,204530,"682,000","136,000","5,000",under investigation,0,12/02/2020,NA,fire,667,,,,,,,
770,770,house,18da4f97,192330,"380,000","76,000",500,under investigation,0,24/01/2007,NA,water damage,378,,,,,,,
771,771,house,058138fa,204920,"609,000","122,000","5,000",settled,199920,20/05/2016,18/08/2016,water damage,601,,,,,,,
772,772,house,2372df06,184430,"472,000","94,000","5,000",denied,0,01/03/2004,NA,water damage,466,,,,,,,
773,773,house,32aa72f6,204000,"466,000","93,000",500,settled,203500,20/01/2013,20/04/2013,fire,466,,,,,,,
774,774,house,17e2ccd8,196830,"357,000","71,000","2,000",under investigation,0,19/08/2006,NA,other,346,,,,,,,
775,775,house,3e11ca5d,193420,"538,000","108,000","2,000",under investigation,0,08/02/2021,NA,other,546,,,,,,,
776,776,house,d02d0f3d,190390,"428,000","86,000","5,000",settled,185390,28/09/2023,27/12/2023,water damage,414,,,,,,,
777,777,house,9bb31e60,176800,"149,000","30,000","2,000",settled,174800,02/04/2019,01/07/2019,nat cat,167,,,,,,,
778,778,house,dc207410,174760,"316,000","63,000","1,000",settled,173760,15/05/2012,13/08/2012,fire,301,,,,,,,
779,779,house,aff01c0d,176990,"202,000","40,000","1,000",settled,175990,14/06/2019,12/09/2019,nat cat,222,,,,,,,
780,780,house,254e80d6,203610,"407,000","81,000",500,settled,203110,03/06/2008,01/09/2008,water damage,424,,,,,,,
781,781,house,7ec3cd77,216220,"71,000","14,000",500,settled,215720,04/04/2016,03/07/2016,water damage,74,,,,,,,
782,782,house,1d455d62,201530,"316,000","63,000","5,000",settled,196530,16/02/2012,16/05/2012,fire,316,,,,,,,
783,783,house,52138bd5,198610,"566,000","113,000",500,under investigation,0,05/08/2022,NA,other,557,,,,,,,
784,784,house,59bf6e2b,188890,"73,000","15,000","5,000",settled,183890,04/05/2012,02/08/2012,nat cat,86,,,,,,,
785,785,house,a698d0f0,215980,"314,000","63,000",500,open,20000,26/08/2004,24/11/2004,theft,311,,,,,,,
786,786,house,9ae76218,198930,"534,000","107,000",500,settled,198430,01/12/2009,01/03/2010,water damage,543,,,,,,,
787,787,house,c7877ae6,214020,"446,000","89,000","5,000",settled,209020,12/02/2016,12/05/2016,water damage,435,,,,,,,
788,788,house,3fdd4f1d,187820,"445,000","89,000",500,settled,187320,02/10/2006,31/12/2006,nat cat,448,,,,,,,
789,789,house,2fa80a52,205480,"435,000","87,000",500,settled,204980,13/01/2013,13/04/2013,fire,426,,,,,,,
790,790,house,828c2149,188720,"557,000","111,000","2,000",under investigation,0,26/12/2022,NA,fire,570,,,,,,,
791,791,house,11d11a03,205360,"610,000","122,000","2,000",settled,203360,28/02/2021,29/05/2021,fire,594,,,,,,,
792,792,house,9a301bd6,199120,"454,000","91,000","2,000",settled,197120,18/09/2006,17/12/2006,other,466,,,,,,,
793,793,house,f6bb8b6b,194320,"814,000","163,000",500,settled,193820,09/03/2015,07/06/2015,fire,796,,,,,,,
794,794,house,5e5b9d20,197230,"89,000","18,000","5,000",settled,192230,13/10/2007,11/01/2008,fire,75,,,,,,,
795,795,house,2e8ef20b,196430,"833,000","167,000","1,000",denied,0,21/09/2015,NA,fire,839,,,,,,,
796,796,house,d7fab187,207010,"333,000","67,000","1,000",settled,206010,22/02/2017,23/05/2017,water damage,338,,,,,,,
797,797,house,66a7db5e,192600,"323,000","65,000","2,000",settled,190600,15/04/2005,14/07/2005,other,315,,,,,,,
798,798,house,4ba1bb90,199380,"565,000","113,000",500,settled,198880,15/03/2023,13/06/2023,fire,559,,,,,,,
799,799,house,3df16120,188540,"309,000","62,000","1,000",under investigation,0,24/03/2018,NA,nat cat,297,,,,,,,
800,800,house,8cecbbed,213420,"101,000","20,000","5,000",settled,208420,23/06/2011,21/09/2011,fire,84,,,,,,,
801,801,house,1ee77cd8,182630,"270,000","54,000","2,000",settled,180630,20/04/2007,19/07/2007,water damage,289,,,,,,,
802,802,house,a2afebc8,218260,"328,000","66,000","2,000",settled,216260,26/10/2012,24/01/2013,fire,316,,,,,,,
803,803,house,90d4feaf,204820,"574,000","115,000","2,000",settled,202820,13/03/2021,11/06/2021,water damage,583,,,,,,,
804,804,house,12d188c1,213150,"308,000","62,000","1,000",settled,212150,03/01/2020,02/04/2020,fire,294,,,,,,,
805,805,house,1b08af2e,220750,"536,000","107,000",500,settled,220250,19/06/2021,17/09/2021,fire,526,,,,,,,
806,806,house,015fc53f,215250,"458,000","92,000",500,open,20000,28/12/2020,28/03/2021,theft,441,,,,,,,
807,807,house,87afdee7,186230,"384,000","77,000",500,settled,185730,02/03/2011,31/05/2011,fire,366,,,,,,,
808,808,house,49001d15,196210,"575,000","115,000",500,settled,195710,12/01/2014,12/04/2014,fire,560,,,,,,,
809,809,house,4435cbb0,188820,"514,000","103,000","5,000",open,20000,20/07/2019,18/10/2019,theft,515,,,,,,,
810,810,house,d5e7d357,239640,"429,000","86,000","2,000",settled,237640,04/08/2008,02/11/2008,water damage,410,,,,,,,
811,811,house,30028f4a,196450,"354,000","71,000","2,000",settled,194450,22/09/2020,21/12/2020,fire,368,,,,,,,
812,812,house,dea6bbc6,179860,"499,000",1e+05,500,denied,0,25/08/2022,NA,water damage,510,,,,,,,
813,813,house,b731b3e9,206600,"736,000","147,000","2,000",open,20000,05/10/2015,03/01/2016,theft,749,,,,,,,
814,814,house,92eba30e,195380,"774,000","155,000","5,000",settled,190380,14/01/2004,13/04/2004,nat cat,760,,,,,,,
815,815,house,00f1196f,217980,"378,000","76,000","1,000",settled,216980,16/04/2016,15/07/2016,water damage,391,,,,,,,
816,816,house,93706bb5,205310,"563,000","113,000","5,000",settled,200310,27/03/2018,25/06/2018,fire,562,,,,,,,
817,817,house,b4054218,223890,"417,000","83,000",500,settled,223390,17/05/2023,15/08/2023,water damage,435,,,,,,,
818,818,house,525df30b,194250,"451,000","90,000","5,000",settled,189250,03/07/2012,01/10/2012,water damage,460,,,,,,,
819,819,house,9db0e70e,209340,"449,000","90,000","2,000",settled,207340,09/11/2010,07/02/2011,nat cat,439,,,,,,,
820,820,house,fdc0562b,202560,5e+05,1e+05,"1,000",settled,201560,06/09/2005,05/12/2005,water damage,506,,,,,,,
821,821,house,1be3296b,195220,"410,000","82,000","2,000",settled,193220,25/11/2019,23/02/2020,fire,391,,,,,,,
822,822,house,88f79ef5,192070,"495,000","99,000","5,000",settled,187070,24/05/2005,22/08/2005,water damage,501,,,,,,,
823,823,house,15682a57,201880,"423,000","85,000","2,000",settled,199880,19/10/2011,17/01/2012,nat cat,408,,,,,,,
824,824,house,96eaf199,213590,"315,000","63,000",500,settled,213090,25/01/2017,25/04/2017,water damage,319,,,,,,,
825,825,house,d549c0ba,197400,"506,000","101,000",500,settled,196900,11/06/2023,09/09/2023,other,494,,,,,,,
826,826,house,529d02a6,212770,"402,000","80,000","5,000",settled,207770,01/03/2019,30/05/2019,water damage,392,,,,,,,
827,827,house,95cd93e1,187560,"370,000","74,000","2,000",settled,185560,22/06/2011,20/09/2011,water damage,365,,,,,,,
828,828,house,fe4f3493,216950,"649,000","130,000",500,settled,216450,28/11/2005,26/02/2006,fire,662,,,,,,,
829,829,house,58926322,194490,"389,000","78,000","1,000",settled,193490,14/12/2019,13/03/2020,water damage,373,,,,,,,
830,830,house,b5a40f7c,202890,"391,000","78,000","2,000",open,20000,23/07/2004,21/10/2004,theft,374,,,,,,,
831,831,house,b7b0a2d3,198260,"345,000","69,000",500,settled,197760,07/01/2022,07/04/2022,water damage,356,,,,,,,
832,832,house,2c6d088e,202830,"529,000","106,000","1,000",settled,201830,04/06/2009,02/09/2009,water damage,530,,,,,,,
833,833,house,5b2aeaa4,220390,"388,000","78,000","1,000",denied,0,03/10/2013,NA,water damage,376,,,,,,,
834,834,house,64a3c989,181100,"643,000","129,000","2,000",settled,179100,12/08/2011,10/11/2011,fire,623,,,,,,,
835,835,house,d5846773,202480,"437,000","87,000","2,000",denied,0,18/10/2023,NA,nat cat,419,,,,,,,
836,836,house,c3fbe749,181760,"335,000","67,000","2,000",under investigation,0,27/04/2022,NA,fire,329,,,,,,,
837,837,house,645a9e0f,210720,"635,000","127,000",500,settled,210220,09/05/2007,07/08/2007,fire,625,,,,,,,
838,838,house,0687c025,186320,"603,000","121,000","5,000",settled,181320,24/04/2012,23/07/2012,fire,612,,,,,,,
839,839,house,90b07bee,204430,"523,000","105,000","2,000",settled,202430,07/12/2007,06/03/2008,fire,533,,,,,,,
840,840,house,f31cd0a7,191370,"455,000","91,000","2,000",under investigation,0,13/12/2012,NA,other,438,,,,,,,
841,841,house,4db7a242,171440,"246,000","49,000","1,000",settled,170440,24/08/2012,22/11/2012,fire,247,,,,,,,
842,842,house,1ed9efcd,224870,"519,000","104,000","5,000",settled,219870,25/08/2015,23/11/2015,water damage,510,,,,,,,
843,843,house,acdc002f,206600,"445,000","89,000","1,000",settled,205600,02/03/2010,31/05/2010,fire,436,,,,,,,
844,844,house,fc8648cc,209490,"131,000","26,000","1,000",settled,208490,26/01/2013,26/04/2013,fire,146,,,,,,,
845,845,house,c274304a,201520,"517,000","103,000","5,000",settled,196520,09/08/2023,07/11/2023,nat cat,530,,,,,,,
846,846,house,28087bf0,198420,"346,000","69,000","2,000",settled,196420,10/06/2018,08/09/2018,water damage,334,,,,,,,
847,847,house,3c473588,204070,"317,000","63,000","2,000",settled,202070,05/10/2006,03/01/2007,water damage,313,,,,,,,
848,848,house,de5da8cb,159550,"242,000","48,000",500,settled,159050,20/05/2023,18/08/2023,water damage,253,,,,,,,
849,849,house,652cc472,209370,"434,000","87,000","5,000",settled,204370,20/04/2006,19/07/2006,fire,446,,,,,,,
850,850,house,083d523c,205420,"450,000","90,000",500,settled,204920,12/09/2005,11/12/2005,fire,454,,,,,,,
851,851,house,42ab4690,207220,"467,000","93,000","5,000",under investigation,0,02/08/2005,NA,nat cat,458,,,,,,,
852,852,house,ddf14971,222900,"387,000","77,000","1,000",settled,221900,17/11/2012,15/02/2013,nat cat,381,,,,,,,
853,853,house,161dcb08,220640,"448,000","90,000","2,000",settled,218640,29/05/2022,27/08/2022,water damage,439,,,,,,,
854,854,house,b3c79214,185650,"422,000","84,000","1,000",open,20000,11/05/2009,09/08/2009,theft,407,,,,,,,
855,855,house,89124b4c,194950,"512,000","102,000","5,000",under investigation,0,21/04/2014,NA,water damage,532,,,,,,,
856,856,house,ad6c3ebd,172840,"604,000","121,000","2,000",settled,170840,23/10/2012,21/01/2013,fire,592,,,,,,,
857,857,house,751e1ebd,175700,"404,000","81,000",500,settled,175200,06/08/2007,04/11/2007,water damage,417,,,,,,,
858,858,house,e49381f9,215010,"473,000","95,000","2,000",settled,213010,07/06/2015,05/09/2015,nat cat,483,,,,,,,
859,859,house,d1473b7f,197290,"345,000","69,000",500,settled,196790,01/11/2023,30/01/2024,water damage,358,,,,,,,
860,860,house,45de15c8,214990,"421,000","84,000","5,000",settled,209990,29/03/2010,27/06/2010,water damage,411,,,,,,,
861,861,house,80a39480,219610,"427,000","85,000","2,000",settled,217610,21/12/2022,21/03/2023,fire,426,,,,,,,
862,862,house,14ea2c2c,211110,"609,000","122,000","1,000",settled,210110,18/02/2022,19/05/2022,water damage,625,,,,,,,
863,863,house,301db6d0,193840,"590,000","118,000",500,settled,193340,01/11/2016,30/01/2017,water damage,580,,,,,,,
864,864,house,bfbeafe2,193930,"453,000","91,000",500,settled,193430,14/04/2016,13/07/2016,water damage,460,,,,,,,
865,865,house,ae5e5b68,209170,"444,000","89,000","2,000",settled,207170,21/01/2020,20/04/2020,fire,464,,,,,,,
866,866,house,76bfdd97,198430,"407,000","81,000","5,000",open,20000,15/02/2013,16/05/2013,theft,392,,,,,,,
867,867,house,b4237d9a,208600,"418,000","84,000",500,settled,208100,06/09/2021,05/12/2021,fire,426,,,,,,,
868,868,house,e7bb51d4,197670,"433,000","87,000",500,settled,197170,01/04/2013,30/06/2013,fire,453,,,,,,,
869,869,house,53a4c3d9,232230,"333,000","67,000","5,000",settled,227230,06/05/2014,04/08/2014,fire,324,,,,,,,
870,870,house,955d3c30,207690,"392,000","78,000",500,settled,207190,08/05/2009,06/08/2009,nat cat,392,,,,,,,
871,871,house,37303d6f,203170,"351,000","70,000",500,settled,202670,14/06/2004,12/09/2004,nat cat,353,,,,,,,
872,872,house,b2d46f18,201790,"396,000","79,000","2,000",under investigation,0,11/09/2016,NA,water damage,400,,,,,,,
873,873,house,5f5e2ce3,214920,"467,000","93,000",500,settled,214420,03/06/2012,01/09/2012,fire,466,,,,,,,
874,874,house,4902b20d,189520,"298,000","60,000",500,settled,189020,26/03/2018,24/06/2018,other,280,,,,,,,
875,875,house,0cd2665d,185820,"406,000","81,000","2,000",settled,183820,25/11/2019,23/02/2020,fire,398,,,,,,,
876,876,house,3cc987f5,192970,"502,000",1e+05,"5,000",settled,187970,18/07/2009,16/10/2009,fire,485,,,,,,,
877,877,house,54e5afbe,210230,"503,000","101,000",500,settled,209730,06/11/2023,04/02/2024,nat cat,520,,,,,,,
878,878,house,b9d06ed2,205070,"426,000","85,000","5,000",settled,200070,26/07/2010,24/10/2010,nat cat,428,,,,,,,
879,879,house,c4026bdd,212120,"876,000","175,000","2,000",settled,210120,22/10/2014,20/01/2015,fire,887,,,,,,,
880,880,house,b048c489,176640,"396,000","79,000","1,000",settled,175640,16/10/2011,14/01/2012,fire,377,,,,,,,
881,881,house,720a80e7,187400,"482,000","96,000",500,settled,186900,02/10/2007,31/12/2007,fire,471,,,,,,,
882,882,house,f04d6a81,178120,"258,000","52,000","2,000",settled,176120,03/08/2007,01/11/2007,water damage,270,,,,,,,
